id,Headline,ReportDate,Link,DiseaseLevel1,DiseaseLevel2,Country,HR: Textually explicit activities,HR Notes,MM: Textually explicit activities,MM Notes,Flag for discussion,DONid,RK/CC notes,Master coding,Master coding fixed names
1,1996 - Haemorrhagic fever with renal syndrome in Bosnia and Herzegovina,2/5/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_02_05-en/,Hantavirus,HFRS,Bosnia and Herzegovina,"Collect biological and environmental samples,Count cases,Count deaths,Identify agent based on laboratory testing,National-level notification of potential public health emergency","""Examination of patient sera found evidence of infection by at least two hantaviruses"" --assumed that ""patient sera"" meant collection of bio sample

DON also includes information on transmission / vulnerable pops of HFRS -- but doesn't say that this is how THIS specific instance was transmit / who is at-risk. Provides overview information.","Count cases,Count deaths,Determine mode of transmission,Identify agent based on laboratory testing,Identify at risk population,National-level notification of potential public health emergency","""Examination of patient sera"" assumes collection of biological samples 0 but is not explicitly stated - does that get coded? ",checked,DON-1996-02-05,"RK: I think patient sera means biological samples.   Specific language on at-risk pops and transmission mean probably need to include, even if prose is not tight about reference to this event

CC: +1 but need to make sure we're consistent throughout on ""samples imply collection"" sorta thing","Collect biological and environmental samples,Count cases,Count deaths,Determine mode of transmission,Identify agent based on laboratory testing,Identify at risk population,National-level notification of potential public health emergency","Collect biological and environmental samples, Count cases, Count deaths, Determine mode of transmission, Identify agent based on laboratory testing, Identify at risk population, National-level notification of potential public health emergency"
2,1996 - Cholera in Zaire,4/2/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_04_04b-en/,Cholera,,Zaire,"Coordinate response with international partners,Count cases,Count deaths,National-level notification of potential public health emergency,Promote good hygiene practices,Provide clean water,Provide funding and/or financing,Share information and key messages with the public","Not explicit that an outbreak has been determined, even though the existence of the DON implies it.","Coordinate response with international partners,Count cases,Count deaths,National-level notification of potential public health emergency,Promote good hygiene practices,Provide clean water,Provide funding and/or financing,Share information and key messages with the public","DONs date is wrong - WHO webpage says DONs is for April 04, airtable names it at 04-02

***Gen q about tagged country

1/23 - Added ""Coordinate response with international partners"" per new activities identified during convo with Hailey",,DON-1996-04-02,,"Coordinate response with international partners,Count cases,Count deaths,National-level notification of potential public health emergency,Promote good hygiene practices,Provide clean water,Provide funding and/or financing,Share information and key messages with the public","Coordinate response with international partners, Count cases, Count deaths, National-level notification of potential public health emergency, Promote good hygiene practices, Provide clean water, Provide funding and/or financing, Share information and key messages with the public"
3,1996 - Cholera in Malaysia,5/20/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_05_20-en/,Cholera,,Malaysia,"Confirm diagnoses,Count cases,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care","Diagnose cases is implied, but not specified; only ""confirm diagnoses"" is textually explicit.

""The Ministry of Health of Malaysia has taken stringent measures to control the outbreak"" with no indication of what those measures are. 

Also recommends visitors follow ""normal recommendations.","Confirm diagnoses,Count cases,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care","'stringent measures to control outbreak' - no details as to what that actually means, maybe 'Implement IPC measures""?",,DON-1996-05-20,,"Confirm diagnoses,Count cases,Identify agent based on laboratory testing,Initiate epidemiological investigation,Provide clinical care","Confirm diagnoses, Count cases, Identify agent based on laboratory testing, Initiate epidemiological investigation, Provide clinical care"
4,1996 - Meningococcal infection in the Balearic Isles (Spain) - Update,6/3/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_06_03-en/,Meningococcal disease,,Spain,"Conduct disease surveillance,Provide medical countermeasures (MCMs),Share information and key messages with the public","""Instituted antibiotic therapy"" -- is this provide clinical care?

","Conduct disease surveillance,Provide medical countermeasures (MCMs),Share information and key messages with the public",Would this be 'at risk population' - tourist population is clearly called out,,DON-1996-06-03,,"Conduct disease surveillance,Provide medical countermeasures (MCMs),Share information and key messages with the public","Conduct disease surveillance, Provide medical countermeasures (MCMs), Share information and key messages with the public"
5,1996 - Meningococcal infection in the Balearic Isles (Spain) - Update,6/3/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_06_03-en/,Meningococcal disease,,United Kingdom,Diagnose cases,"Interesting because it reads as a comment from the UK (more editorial) as opposed to strict epidemiological report.


",Diagnose cases,,,DON-1996-06-03,,Diagnose cases,Diagnose cases
6,1996 - Dengue/dengue haemorrhagic fever in Malaysia and Indonesia,6/14/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_06_14b-en/,Dengue fever,,Malaysia,"Count cases,Implement vector control measures",,"Count cases,Implement vector control measures","Added ""implement vector control measures"" after coding convo with Hailey",,DON-1996-06-14-b,,"Count cases,Implement vector control measures","Count cases, Implement vector control measures"
7,1996 - Dengue/dengue haemorrhagic fever in Malaysia and Indonesia,6/14/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_06_14b-en/,Dengue fever,,Indonesia,"Count cases,Share information and key messages with the public","""A campaign to educate the public on keeping the environment clean and free of stagnant water, the breeding place for mosquitoes, has been stepped up""  -- to me, this does not indicate the government has been doing vector control measures, just public education. ","Count cases,Share information and key messages with the public","Should vector control be coded here: "" campaign to educate the public on keeping the environment clean and free of stagnant water, the breeding place for mosquitoes, has been stepped up.""",checked,DON-1996-06-14-b,,"Count cases,Share information and key messages with the public","Count cases, Share information and key messages with the public"
8,1996 - Diphtheria in Laos and Thailand,7/19/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_07_19a-en/,Diptheria,,Laos,"Count cases,Count deaths,Initiate epidemiological investigation,Provide medical countermeasures (MCMs)","""planning of mass campaigns to contain the epidemic in both countries"" -- what could that be?","Count cases,Count deaths,Initiate epidemiological investigation,Provide medical countermeasures (MCMs)","Added ""provide MCMs"" activity after review with Hailey",,DON-1996-07-19-a,,"Count cases,Count deaths,Initiate epidemiological investigation,Provide medical countermeasures (MCMs)","Count cases, Count deaths, Initiate epidemiological investigation, Provide medical countermeasures (MCMs)"
9,1996 - Diphtheria in Laos and Thailand,7/19/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_07_19a-en/,Diptheria,,Thailand,"Count cases,Initiate epidemiological investigation,Provide medical countermeasures (MCMs)","Not including count deaths because not specified for Thailand

""planning of mass campaigns to contain the epidemic in both countries"" -- assume vaccines or no?","Count cases,Initiate epidemiological investigation,Provide medical countermeasures (MCMs)","""Planning of mass campaigns to contain the epidemic in both countries"" - is the DONS missing a word? Shouldn't this be a vaccination campaign? Especially if the source is WHO Global Programme on Vaccines and Immunizations, GPV",,DON-1996-07-19-a,,"Count cases,Initiate epidemiological investigation,Provide medical countermeasures (MCMs)","Count cases, Initiate epidemiological investigation, Provide medical countermeasures (MCMs)"
10,1996 - Cholera in Nigeria - Update 4,7/19/1996,https://www.who.int/emergencies/disease-outbreak-news/item/1996_07_19c-en/,Cholera,,Nigeria,"Count cases,Count deaths,Explore fundraising options","Has different numbers of cases reported between the two paragraphs for the same country. 

Does ""WHO is in the process of organizing supplies"" align more with exploring fundraising, or providing funding/financing or MCMs?","Count cases,Count deaths,Provide funding and/or financing","""WHO is in the process of organizing supplies and aid which are urgently needed to assist in the control of this epidemic.""
GOAL separates out different types of aid (financial, food, water, health, ag.) so tough to map without additional information",checked,DON-1996-07-19-c,"RK: I read this as exploring financing.  Not providing funding

CC I'm unsure I would put either
","Count cases,Count deaths,Explore fundraising options","Count cases, Count deaths, Explore fundraising options"
