Activity,Function,Category,Phases,Description
Acquire air transportation assets,"Transportation, Logistics and supply chain, Operational coordination","Logistics & support, Governance & coordination","Early response, Intervention",A comprehensive description of this activity is coming soon.
"Acquire personal protective equipment (PPE), chlorine and detergent, and decontamination tools required","Logistics and supply chain, Environmental decontamination",Logistics & support,"Detection, Early response",A comprehensive description of this activity is coming soon.
Acquire road transportation vehicles,Transportation,Logistics & support,"Early response, Intervention, Surveillance & preparedness",A comprehensive description of this activity is coming soon.
Activate emergency operations center (EOC),Operational coordination,Governance & coordination,"Detection, Early response, Intervention","<p>A public health emergency operations center (EOC) is a central location for coordinating operational information and resources to support the management of public health emergencies.<sup class=""footnote"" data-id=""1"">1</sup> EOCs provide essential functions to support decision-making and implementation, coordination, collaboration, and communication. The activation of an EOC occurs when routine response structures becomes overwhelmed, and is an important decision point when managing an outbreak.</p><p>EOCs may be permanent facilities that are called into action when needed, such as the U.S. Centers for Disease Control and Prevention EOC.<sup class=""footnote"" data-id=""2"">2</sup> Others may be stood up and activated only when needed. Some jurisdictions have protocols in place that specify when an EOC should be activated; others use an action committee or other authority to determine when to activate it.<sup class=""footnote"" data-id=""3"">3</sup></p><p>Common activation triggers for EOCs include:<sup class=""footnote"" data-id=""4"">4</sup></p><p><ul><li>Requests for assistance from overwhelmed subnational jurisdictions or countries</li> <li>Need for significant external partner coordination</li> <li>High level of expected political or media interest</li> <li>Need to coordinate risk communication messages with diverse partners</li> <li>Need for significant internal coordination across multiple agency programs</li> <li>Presence of a new disease agent or known agent exhibiting different characteristics</li> <li>Activation of other EOCs by external response partners</li></ul></p><p>Jurisdictions may choose to develop preplanned levels of activation stratified across levels of needed effort that are related to how much activity is warranted.<sup class=""footnote"" data-id=""5"">5</sup> The extent to which the EOC is activated can range from partial to full and may be over a short or prolonged period of time.</p>"
Assess ability to pay responders,Human resource management,Logistics & support,"Early response, Intervention","<p>Emergency preparedness plans should account for paying those delivering services on the ground. The plan should identify responders, determine appropriate compensation for their work, and develop a plan for the secure transfer of their pay. By following the guidance of a plan, responders should be paid promptly and fairly for their work during an outbreak.<sup class=""footnote"" data-id=""1"">1</sup> Moreover, the plan might also include stipulations on salary changes based on the hazard level responders are confronting. <sup class=""footnote"" data-id=""2"">2</sup> As well, there should be guidance on how sick leave and other missed work for outbreak-related reasons affect pay.<sup class=""footnote"" data-id=""3"">3</sup> This information will prove critical to ensuring responders feel valued and can support themselves/their families.</p><p>Past public health emergencies highlight the importance of targeted funding. At times, the United States has allocated financial aid to countries in need in a sporadic, disjointed fashion and in amounts not appropriate for the disaster at hand.<sup class=""footnote"" data-id=""4"">4</sup> Adequate funding given to trained and motivated responders is essential to the outbreak response, underscoring the significance of identifying who is to receive funds and the mechanism through which they are to receive them.</p><p>Payments should be provided transparently and responsibly. Incentives vary based on the country, paying institution, and workers in question. Across scenarios and settings, the secure transfer of funds to responders promotes trust and encourages efficacy in the response to the outbreak.<sup class=""footnote"" data-id=""5"">5</sup> Identify and implement a payment system with this in mind, considering how to pay key personnel safely.</p>"
Assess ability to rapidly transfer funds,Funding and economic support,Governance & coordination,"Surveillance & preparedness, Early response","Assess ability to rapidly transfer funds, including the ability to pay responders. Full activity description in progress."
Assess communication network capacity,Power and telecommunications,Logistics & support,"Early response, Intervention","<p>Once an outbreak has been identified and emergency operations center(s) installed, reliable communication channels between EOCs, local government entities, and international organizations must be established and maintained.</p><p>An outbreak generally warrants communication capacity beyond the normal capability of a local government. As such, the needed expansion and strengthening of communication channels should be a critical priority for managing an outbreak. The emergency response team should outline expectations regarding communication methods, personnel responsible, and potential backup systems.<sup class=""footnote"" data-id=""1"">1</sup></p><p>Communication systems should support prompt, secure, and dynamic delivery of messages between appropriate stakeholders.<sup class=""footnote"" data-id=""2"">2</sup> Network capacity can be evaluated based on the channels’ interoperability, reliability, and security. Response teams should consider who will be sending and receiving these communications and if the current method of message delivery is practical for their use. As an outbreak unfolds, it is highly important that relevant personnel are apprised to the situation as it is occurring. With this in mind, assess threats to technical infrastructure and prepare alternative methods accordingly. Sensitive information may need to be shared, such that channels should be held to clear, strict security standards.</p>"
Assess impacts to local banks and economic systems,Funding and economic support,Governance & coordination,"Intervention, Post-intervention & recovery",A comprehensive description of this activity is coming soon.
"Assess impacts to regional, national, and international financial systems",Funding and economic support,Governance & coordination,"Intervention, Post-intervention & recovery","Assess the impact on regional and international financial systems by tracking changes in economic output, prices and growth. Assess changes in nation's gross domestic product (GDP), flow rate of individuals and products to and from affection region and impact on sources of financing."
Assess strengths and weaknesses of operational coordination strategy during recovery,Operational coordination,Governance & coordination,Post-intervention & recovery,A comprehensive description of this activity is coming soon.
