,Act1,Act2,counts
0,"""Request financial resources from global, regional, or bilateral funders""",Establish and train rapid response team,0.0
1,"""Request financial resources from global, regional, or bilateral funders""",Verify outbreak signal(s),0.0
2,"""Request financial resources from global, regional, or bilateral funders""",Establish diagnostic protocols,0.0
3,"""Request financial resources from global, regional, or bilateral funders""",Count cases,2.0
4,"""Request financial resources from global, regional, or bilateral funders""","""Establish physical distancing measures in healthcare facilities, treatment centers, and the broader community""",0.0
5,"""Request financial resources from global, regional, or bilateral funders""",Conduct disease surveillance,1.0
6,"""Request financial resources from global, regional, or bilateral funders""",Ensure vulnerable populations' access to care and resources,0.0
7,"""Request financial resources from global, regional, or bilateral funders""",Develop operational communication strategy,0.0
8,"""Request financial resources from global, regional, or bilateral funders""",Provide technical assistance,0.0
9,"""Request financial resources from global, regional, or bilateral funders""",Procure and transport medical countermeasures (MCMs),0.0
10,"""Request financial resources from global, regional, or bilateral funders""",Define and document SOPs for surveillance and epidemic intelligence,0.0
11,"""Request financial resources from global, regional, or bilateral funders""",Identify and interview initial case(s),0.0
12,"""Request financial resources from global, regional, or bilateral funders""",Conduct site visits and infection prevention and control (IPC) assessments at healthcare facilities,0.0
13,"""Request financial resources from global, regional, or bilateral funders""",Modify food production or preparation process,0.0
14,"""Request financial resources from global, regional, or bilateral funders""",Collect data on population impacts,0.0
15,"""Request financial resources from global, regional, or bilateral funders""",Conduct surveillance at points of entry,0.0
16,"""Request financial resources from global, regional, or bilateral funders""",Monitor and manage rumors and misinformation,0.0
17,"""Request financial resources from global, regional, or bilateral funders""","""Collect, manage, and share surveillance data across sectors""",0.0
18,"""Request financial resources from global, regional, or bilateral funders""",Train burial teams,0.0
19,"""Request financial resources from global, regional, or bilateral funders""",Initiate epidemiological investigation,0.0
20,"""Request financial resources from global, regional, or bilateral funders""",Issue emergency declaration,0.0
21,"""Request financial resources from global, regional, or bilateral funders""",National-level notification of potential public health emergency,0.0
22,"""Request financial resources from global, regional, or bilateral funders""",Determine policy on mandatory screenings and/or testing,0.0
23,"""Request financial resources from global, regional, or bilateral funders""",Monitor the long-term safety and efficacy of vaccines,0.0
24,"""Request financial resources from global, regional, or bilateral funders""",Identify travel or border restrictions,0.0
25,"""Request financial resources from global, regional, or bilateral funders""",Ongoing communication with funders,0.0
26,"""Request financial resources from global, regional, or bilateral funders""",Procure sampling material,0.0
27,"""Request financial resources from global, regional, or bilateral funders""",WHO/WOAH notification,0.0
28,"""Request financial resources from global, regional, or bilateral funders""",Implement vector control measures,0.0
29,"""Request financial resources from global, regional, or bilateral funders""",Coordinate national response across sectors,1.0
30,"""Request financial resources from global, regional, or bilateral funders""",Conduct anthropological assessment,0.0
31,"""Request financial resources from global, regional, or bilateral funders""",Issue request for assistance,1.0
32,"""Request financial resources from global, regional, or bilateral funders""",Complete descriptive analysis of outbreak,1.0
33,"""Request financial resources from global, regional, or bilateral funders""",Construct case definitions,0.0
34,"""Request financial resources from global, regional, or bilateral funders""",Provide clinical care,1.0
35,"""Request financial resources from global, regional, or bilateral funders""",Collect data to assess magnitude and nature of the event,0.0
36,"""Request financial resources from global, regional, or bilateral funders""",Collect biological and environmental samples,0.0
37,"""Request financial resources from global, regional, or bilateral funders""",Update cross-border agreements,0.0
38,"""Request financial resources from global, regional, or bilateral funders""",Train workforce in clinical care and case management practices,0.0
39,"""Request financial resources from global, regional, or bilateral funders""","""Maintain sanitation of facilities, buildings, vehicles and equipment used for animals""",0.0
